id,vanda_id,type,subtype,name
2000310,VNDA2000310,Benchmark Industry,Russell-1000 (Hotel & Resort REITs),Russell-1000 (Hotel & Resort REITs)
2000111,VNDA2000111,Benchmark Industry,"Russell-1000 (Hotels, Restaurants & Leisure)","Russell-1000 (Hotels, Restaurants & Leisure)"
2000175,VNDA2000175,Benchmark Industry,Russell-1000 (Household Durables),Russell-1000 (Household Durables)
2000222,VNDA2000222,Benchmark Industry,Russell-1000 (Household Products),Russell-1000 (Household Products)
2000117,VNDA2000117,Benchmark Industry,Russell-1000 (IT Services),Russell-1000 (IT Services)
2000213,VNDA2000213,Benchmark Industry,Russell-1000 (Independent Power and Renewable Electricity Producers),Russell-1000 (Independent Power and Renewable Electricity Producers)
2000105,VNDA2000105,Benchmark Industry,Russell-1000 (Industrial Conglomerates),Russell-1000 (Industrial Conglomerates)
2000398,VNDA2000398,Benchmark Industry,Russell-1000 (Industrial REITs),Russell-1000 (Industrial REITs)
2000157,VNDA2000157,Benchmark Industry,Russell-1000 (Insurance),Russell-1000 (Insurance)
2000087,VNDA2000087,Benchmark Industry,Russell-1000 (Interactive Media & Services),Russell-1000 (Interactive Media & Services)
2000350,VNDA2000350,Benchmark Industry,Russell-1000 (Leisure Products),Russell-1000 (Leisure Products)
2000306,VNDA2000306,Benchmark Industry,Russell-1000 (Life Sciences Tools & Services),Russell-1000 (Life Sciences Tools & Services)
2000232,VNDA2000232,Benchmark Industry,Russell-1000 (Machinery),Russell-1000 (Machinery)
2000152,VNDA2000152,Benchmark Industry,Russell-1000 (Marine Transportation),Russell-1000 (Marine Transportation)
2000315,VNDA2000315,Benchmark Industry,Russell-1000 (Media),Russell-1000 (Media)
2000242,VNDA2000242,Benchmark Industry,Russell-1000 (Metals & Mining),Russell-1000 (Metals & Mining)
2000182,VNDA2000182,Benchmark Industry,Russell-1000 (Mortgage Real Estate Investment Trusts (REITs)),Russell-1000 (Mortgage Real Estate Investment Trusts (REITs))
2000148,VNDA2000148,Benchmark Industry,Russell-1000 (Multi-Utilities),Russell-1000 (Multi-Utilities)
2000345,VNDA2000345,Benchmark Industry,Russell-1000 (Office REITs),Russell-1000 (Office REITs)
2000166,VNDA2000166,Benchmark Industry,"Russell-1000 (Oil, Gas & Consumable Fuels)","Russell-1000 (Oil, Gas & Consumable Fuels)"
2000414,VNDA2000414,Benchmark Industry,Russell-1000 (Paper & Forest Products),Russell-1000 (Paper & Forest Products)
2000252,VNDA2000252,Benchmark Industry,Russell-1000 (Passenger Airlines),Russell-1000 (Passenger Airlines)
2000100,VNDA2000100,Benchmark Industry,Russell-1000 (Personal Care Products),Russell-1000 (Personal Care Products)
2000127,VNDA2000127,Benchmark Industry,Russell-1000 (Pharmaceuticals),Russell-1000 (Pharmaceuticals)
2000268,VNDA2000268,Benchmark Industry,Russell-1000 (Professional Services),Russell-1000 (Professional Services)
2000294,VNDA2000294,Benchmark Industry,Russell-1000 (Real Estate Management & Development),Russell-1000 (Real Estate Management & Development)
2000370,VNDA2000370,Benchmark Industry,Russell-1000 (Residential REITs),Russell-1000 (Residential REITs)
2000402,VNDA2000402,Benchmark Industry,Russell-1000 (Retail REITs),Russell-1000 (Retail REITs)
2000073,VNDA2000073,Benchmark Industry,Russell-1000 (Semiconductors & Semiconductor Equipment),Russell-1000 (Semiconductors & Semiconductor Equipment)
2000258,VNDA2000258,Benchmark Industry,Russell-1000 (Software),Russell-1000 (Software)
2000395,VNDA2000395,Benchmark Industry,Russell-1000 (Specialized REITs),Russell-1000 (Specialized REITs)
2000133,VNDA2000133,Benchmark Industry,Russell-1000 (Specialty Retail),Russell-1000 (Specialty Retail)
2000356,VNDA2000356,Benchmark Industry,"Russell-1000 (Technology Hardware, Storage & Peripherals)","Russell-1000 (Technology Hardware, Storage & Peripherals)"
2000096,VNDA2000096,Benchmark Industry,"Russell-1000 (Textiles, Apparel & Luxury Goods)","Russell-1000 (Textiles, Apparel & Luxury Goods)"
2000179,VNDA2000179,Benchmark Industry,Russell-1000 (Tobacco),Russell-1000 (Tobacco)
2000274,VNDA2000274,Benchmark Industry,Russell-1000 (Trading Companies & Distributors),Russell-1000 (Trading Companies & Distributors)
2000297,VNDA2000297,Benchmark Industry,Russell-1000 (Water Utilities),Russell-1000 (Water Utilities)
2000092,VNDA2000092,Benchmark Industry,Russell-1000 (Wireless Telecommunication Services),Russell-1000 (Wireless Telecommunication Services)
2000144,VNDA2000144,Benchmark Industry,Russell-2000 (Aerospace & Defense),Russell-2000 (Aerospace & Defense)
2000291,VNDA2000291,Benchmark Industry,Russell-2000 (Air Freight & Logistics),Russell-2000 (Air Freight & Logistics)
2000385,VNDA2000385,Benchmark Industry,Russell-2000 (Automobile Components),Russell-2000 (Automobile Components)
2000302,VNDA2000302,Benchmark Industry,Russell-2000 (Automobiles),Russell-2000 (Automobiles)
2000193,VNDA2000193,Benchmark Industry,Russell-2000 (Banks),Russell-2000 (Banks)
2000285,VNDA2000285,Benchmark Industry,Russell-2000 (Beverages),Russell-2000 (Beverages)
2000188,VNDA2000188,Benchmark Industry,Russell-2000 (Biotechnology),Russell-2000 (Biotechnology)
2000264,VNDA2000264,Benchmark Industry,Russell-2000 (Broadline Retail),Russell-2000 (Broadline Retail)
2000392,VNDA2000392,Benchmark Industry,Russell-2000 (Building Products),Russell-2000 (Building Products)
2000122,VNDA2000122,Benchmark Industry,Russell-2000 (Capital Markets),Russell-2000 (Capital Markets)
2000209,VNDA2000209,Benchmark Industry,Russell-2000 (Chemicals),Russell-2000 (Chemicals)
2000139,VNDA2000139,Benchmark Industry,Russell-2000 (Commercial Services & Supplies),Russell-2000 (Commercial Services & Supplies)
2000239,VNDA2000239,Benchmark Industry,Russell-2000 (Communications Equipment),Russell-2000 (Communications Equipment)
2000248,VNDA2000248,Benchmark Industry,Russell-2000 (Construction & Engineering),Russell-2000 (Construction & Engineering)
2000218,VNDA2000218,Benchmark Industry,Russell-2000 (Construction Materials),Russell-2000 (Construction Materials)
2000376,VNDA2000376,Benchmark Industry,Russell-2000 (Consumer Finance),Russell-2000 (Consumer Finance)
2000322,VNDA2000322,Benchmark Industry,Russell-2000 (Consumer Staples Distribution & Retail),Russell-2000 (Consumer Staples Distribution & Retail)
2000171,VNDA2000171,Benchmark Industry,Russell-2000 (Containers & Packaging),Russell-2000 (Containers & Packaging)
2000407,VNDA2000407,Benchmark Industry,Russell-2000 (Distributors),Russell-2000 (Distributors)
2000079,VNDA2000079,Benchmark Industry,Russell-2000 (Diversified Consumer Services),Russell-2000 (Diversified Consumer Services)
2000388,VNDA2000388,Benchmark Industry,Russell-2000 (Diversified REITs),Russell-2000 (Diversified REITs)
2000198,VNDA2000198,Benchmark Industry,Russell-2000 (Diversified Telecommunication Services),Russell-2000 (Diversified Telecommunication Services)
2000280,VNDA2000280,Benchmark Industry,Russell-2000 (Electric Utilities),Russell-2000 (Electric Utilities)
2000227,VNDA2000227,Benchmark Industry,Russell-2000 (Electrical Equipment),Russell-2000 (Electrical Equipment)
2000203,VNDA2000203,Benchmark Industry,"Russell-2000 (Electronic Equipment, Instruments & Components)","Russell-2000 (Electronic Equipment, Instruments & Components)"
2000083,VNDA2000083,Benchmark Industry,Russell-2000 (Energy Equipment & Services),Russell-2000 (Energy Equipment & Services)
2000367,VNDA2000367,Benchmark Industry,Russell-2000 (Entertainment),Russell-2000 (Entertainment)
2000327,VNDA2000327,Benchmark Industry,Russell-2000 (Financial Services),Russell-2000 (Financial Services)
2000381,VNDA2000381,Benchmark Industry,Russell-2000 (Food Products),Russell-2000 (Food Products)
2000342,VNDA2000342,Benchmark Industry,Russell-2000 (Gas Utilities),Russell-2000 (Gas Utilities)
2000333,VNDA2000333,Benchmark Industry,Russell-2000 (Ground Transportation),Russell-2000 (Ground Transportation)
2000068,VNDA2000068,Benchmark Industry,Russell-2000 (Health Care Equipment & Supplies),Russell-2000 (Health Care Equipment & Supplies)
2000338,VNDA2000338,Benchmark Industry,Russell-2000 (Health Care Providers & Services),Russell-2000 (Health Care Providers & Services)
2000411,VNDA2000411,Benchmark Industry,Russell-2000 (Health Care REITs),Russell-2000 (Health Care REITs)
2000361,VNDA2000361,Benchmark Industry,Russell-2000 (Health Care Technology),Russell-2000 (Health Care Technology)
2000311,VNDA2000311,Benchmark Industry,Russell-2000 (Hotel & Resort REITs),Russell-2000 (Hotel & Resort REITs)
2000112,VNDA2000112,Benchmark Industry,"Russell-2000 (Hotels, Restaurants & Leisure)","Russell-2000 (Hotels, Restaurants & Leisure)"
2000176,VNDA2000176,Benchmark Industry,Russell-2000 (Household Durables),Russell-2000 (Household Durables)
2000223,VNDA2000223,Benchmark Industry,Russell-2000 (Household Products),Russell-2000 (Household Products)
2000118,VNDA2000118,Benchmark Industry,Russell-2000 (IT Services),Russell-2000 (IT Services)
2000214,VNDA2000214,Benchmark Industry,Russell-2000 (Independent Power and Renewable Electricity Producers),Russell-2000 (Independent Power and Renewable Electricity Producers)
2000106,VNDA2000106,Benchmark Industry,Russell-2000 (Industrial Conglomerates),Russell-2000 (Industrial Conglomerates)
2000399,VNDA2000399,Benchmark Industry,Russell-2000 (Industrial REITs),Russell-2000 (Industrial REITs)
2000158,VNDA2000158,Benchmark Industry,Russell-2000 (Insurance),Russell-2000 (Insurance)
2000088,VNDA2000088,Benchmark Industry,Russell-2000 (Interactive Media & Services),Russell-2000 (Interactive Media & Services)
2000351,VNDA2000351,Benchmark Industry,Russell-2000 (Leisure Products),Russell-2000 (Leisure Products)
2000307,VNDA2000307,Benchmark Industry,Russell-2000 (Life Sciences Tools & Services),Russell-2000 (Life Sciences Tools & Services)
2000233,VNDA2000233,Benchmark Industry,Russell-2000 (Machinery),Russell-2000 (Machinery)
2000153,VNDA2000153,Benchmark Industry,Russell-2000 (Marine Transportation),Russell-2000 (Marine Transportation)
2000316,VNDA2000316,Benchmark Industry,Russell-2000 (Media),Russell-2000 (Media)
2000243,VNDA2000243,Benchmark Industry,Russell-2000 (Metals & Mining),Russell-2000 (Metals & Mining)
2000183,VNDA2000183,Benchmark Industry,Russell-2000 (Mortgage Real Estate Investment Trusts (REITs)),Russell-2000 (Mortgage Real Estate Investment Trusts (REITs))
2000149,VNDA2000149,Benchmark Industry,Russell-2000 (Multi-Utilities),Russell-2000 (Multi-Utilities)
2000346,VNDA2000346,Benchmark Industry,Russell-2000 (Office REITs),Russell-2000 (Office REITs)
2000167,VNDA2000167,Benchmark Industry,"Russell-2000 (Oil, Gas & Consumable Fuels)","Russell-2000 (Oil, Gas & Consumable Fuels)"
2000160,VNDA2000160,Benchmark Industry,Russell-2000 (Paper & Forest Products),Russell-2000 (Paper & Forest Products)
2000253,VNDA2000253,Benchmark Industry,Russell-2000 (Passenger Airlines),Russell-2000 (Passenger Airlines)
2000101,VNDA2000101,Benchmark Industry,Russell-2000 (Personal Care Products),Russell-2000 (Personal Care Products)
2000128,VNDA2000128,Benchmark Industry,Russell-2000 (Pharmaceuticals),Russell-2000 (Pharmaceuticals)
2000269,VNDA2000269,Benchmark Industry,Russell-2000 (Professional Services),Russell-2000 (Professional Services)
2000295,VNDA2000295,Benchmark Industry,Russell-2000 (Real Estate Management & Development),Russell-2000 (Real Estate Management & Development)
2000371,VNDA2000371,Benchmark Industry,Russell-2000 (Residential REITs),Russell-2000 (Residential REITs)
2000403,VNDA2000403,Benchmark Industry,Russell-2000 (Retail REITs),Russell-2000 (Retail REITs)
2000074,VNDA2000074,Benchmark Industry,Russell-2000 (Semiconductors & Semiconductor Equipment),Russell-2000 (Semiconductors & Semiconductor Equipment)
2000259,VNDA2000259,Benchmark Industry,Russell-2000 (Software),Russell-2000 (Software)
2000396,VNDA2000396,Benchmark Industry,Russell-2000 (Specialized REITs),Russell-2000 (Specialized REITs)
2000134,VNDA2000134,Benchmark Industry,Russell-2000 (Specialty Retail),Russell-2000 (Specialty Retail)
2000357,VNDA2000357,Benchmark Industry,"Russell-2000 (Technology Hardware, Storage & Peripherals)","Russell-2000 (Technology Hardware, Storage & Peripherals)"
2000097,VNDA2000097,Benchmark Industry,"Russell-2000 (Textiles, Apparel & Luxury Goods)","Russell-2000 (Textiles, Apparel & Luxury Goods)"
2000180,VNDA2000180,Benchmark Industry,Russell-2000 (Tobacco),Russell-2000 (Tobacco)
2000275,VNDA2000275,Benchmark Industry,Russell-2000 (Trading Companies & Distributors),Russell-2000 (Trading Companies & Distributors)
2000442,VNDA2000442,Benchmark Industry,Russell-2000 (Transportation Infrastructure),Russell-2000 (Transportation Infrastructure)
2000298,VNDA2000298,Benchmark Industry,Russell-2000 (Water Utilities),Russell-2000 (Water Utilities)
2000093,VNDA2000093,Benchmark Industry,Russell-2000 (Wireless Telecommunication Services),Russell-2000 (Wireless Telecommunication Services)
2000145,VNDA2000145,Benchmark Industry,Russell-3000 (Aerospace & Defense),Russell-3000 (Aerospace & Defense)
2000292,VNDA2000292,Benchmark Industry,Russell-3000 (Air Freight & Logistics),Russell-3000 (Air Freight & Logistics)
